State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
3,35,200,Dhar Kalan,10825,54186,263.9137155312275,205.0,PUNJAB,Gurdaspur,41.01719373777349,90.02325323884398,90.29099307159352,95.28254908050552,61.1382,0.2317
3,35,201,Pathankot,123734,622412,687.3728619298134,905.0,PUNJAB,Gurdaspur,180.01001618337716,52.96363180658471,52.43991142289104,86.27964453888639,438.6887,0.6382
3,35,202,Gurdaspur,156505,821539,1352.6036033812893,607.0,PUNJAB,Gurdaspur,115.70647868212308,82.08313908408486,81.39292674355451,96.0550156848164,1671.1635,1.2355
3,35,203,Batala,129555,675891,950.7673829118936,711.0,PUNJAB,Gurdaspur,136.26361434824872,69.88212596409777,68.85029524140327,94.40872699721902,1045.3733,1.0995
3,35,204,Dera Baba Nanak,23047,124295,296.33792413973543,419.0,PUNJAB,Gurdaspur,77.77269840471853,91.63683173096264,91.36547056015968,97.4859782049067,225.6889,0.7616
3,36,205,Bhulath,22689,104354,234.9931417477361,444.0,PUNJAB,Kapurthala,96.55175394163852,80.19817160817985,79.72145092335494,92.68914834185134,32.1785,0.1369
3,36,206,Kapurthala,69986,341631,656.5451771074815,520.0,PUNJAB,Kapurthala,106.59738650177114,64.09927670498287,62.56679907410053,94.390332716743,20.6666,0.0315
3,36,207,Sultanpur Lodhi,23231,121816,444.91925613051257,274.0,PUNJAB,Kapurthala,52.21396844461464,86.14549812832468,85.10610821746803,97.86478111048238,86.6382,0.1947
3,36,208,Phagwara,52083,247367,296.54457209527374,834.0,PUNJAB,Kapurthala,175.63295673227427,50.57020540330763,50.04128026419369,91.19188059472955,58.5786,0.1975
3,37,209,Shahkot,32743,166532,430.5914744697537,387.0,PUNJAB,Jalandhar,76.04191430014016,85.07794297792617,84.85783220841095,97.67761309897872,68.882,0.16
3,37,210,Nakodar,42287,208157,445.4415607532573,467.0,PUNJAB,Jalandhar,94.93276722650486,82.23792618071936,81.5215077919928,97.19379575204836,3.7246,0.0084
3,37,211,Phillaur,80057,381732,744.6301141979544,513.0,PUNJAB,Jalandhar,107.51243936223273,81.54333406683223,81.28958117341394,93.568618957671,16.0119,0.0215
3,37,212,Jalandhar - I,245989,1145692,468.0523428136878,2448.0,PUNJAB,Jalandhar,525.5587409759382,14.988146901610556,15.200273182947203,69.01201281717879,147.2859,0.3147
3,37,213,Jalandhar - II,60559,291477,535.2947540604289,545.0,PUNJAB,Jalandhar,113.13206329902414,81.15837613259366,80.83852111164319,94.81033584034266,55.5668,0.1038
3,38,214,Dasua,77198,360505,842.3738591491693,428.0,PUNJAB,Hoshiarpur,91.643394629996,84.4096475777035,84.63949843260188,95.44145398353344,930.3306,1.1044
