subdistrict_name,state_name,fiber_length_km
Chillakur,ANDHRA PRADESH,23.4865
Kota,ANDHRA PRADESH,1.9687
Vakadu,ANDHRA PRADESH,0.0
Chittamur,ANDHRA PRADESH,0.2132
Naidupet,ANDHRA PRADESH,12.0349
Pellakur,ANDHRA PRADESH,83.5579
Doravarisatram,ANDHRA PRADESH,58.79
Sullurpeta,ANDHRA PRADESH,30.3971
Tada,ANDHRA PRADESH,28.9259
Kondapuram,ANDHRA PRADESH,33.5422
Mylavaram,ANDHRA PRADESH,0.0
Peddamudium,ANDHRA PRADESH,0.0
Rajupalem,ANDHRA PRADESH,0.0
Duvvur,ANDHRA PRADESH,0.0
S.Mydukur,ANDHRA PRADESH,0.0
Brahmamgarimattam,ANDHRA PRADESH,0.0
Sri Avadhutha Kasinayana,ANDHRA PRADESH,0.0
Kalasapadu,ANDHRA PRADESH,0.0
Porumamilla,ANDHRA PRADESH,0.0
B.Kodur,ANDHRA PRADESH,0.0
Badvel,ANDHRA PRADESH,0.0
Gopavaram,ANDHRA PRADESH,0.0
Khajipet,ANDHRA PRADESH,0.0
Chapad,ANDHRA PRADESH,0.0
Proddatur,ANDHRA PRADESH,2.5498
Jammalamadugu,ANDHRA PRADESH,15.0326
Muddanur,ANDHRA PRADESH,10.4953
Simhadripuram,ANDHRA PRADESH,0.0
Lingala,ANDHRA PRADESH,10.1789
Pulivendla,ANDHRA PRADESH,0.0
Vemula,ANDHRA PRADESH,0.0
Thondur,ANDHRA PRADESH,0.0
Veerapunayunipalle,ANDHRA PRADESH,0.0
Yerraguntla,ANDHRA PRADESH,7.2825
Kamalapuram,ANDHRA PRADESH,0.0
Vallur,ANDHRA PRADESH,0.0
Chennur,ANDHRA PRADESH,0.0
Atlur,ANDHRA PRADESH,0.0
Vontimitta,ANDHRA PRADESH,0.0
Sidhout,ANDHRA PRADESH,0.0
Kadapa,ANDHRA PRADESH,0.0
Chinthakommadinne,ANDHRA PRADESH,0.0
Pendlimarri,ANDHRA PRADESH,0.0
Vempalle,ANDHRA PRADESH,0.0
Chakrayapet,ANDHRA PRADESH,0.0
Galiveedu,ANDHRA PRADESH,0.8893
Chinnamandem,ANDHRA PRADESH,0.0
Sambepalle,ANDHRA PRADESH,0.0
T Sundupalle,ANDHRA PRADESH,0.0
Rayachoti,ANDHRA PRADESH,0.0
Lakkireddipalle,ANDHRA PRADESH,0.0
Ramapuram,ANDHRA PRADESH,0.0
Veeraballe,ANDHRA PRADESH,0.0
Nandalur,ANDHRA PRADESH,0.0
Penagalur,ANDHRA PRADESH,0.0
Chitvel,ANDHRA PRADESH,12.0681
Rajampet,ANDHRA PRADESH,0.0
Pullampeta,ANDHRA PRADESH,0.0
Obulavaripalle,ANDHRA PRADESH,0.0
Kodur,ANDHRA PRADESH,31.5846
Mantralayam,ANDHRA PRADESH,0.0
Kosigi,ANDHRA PRADESH,0.0
Kowthalam,ANDHRA PRADESH,2.0075
Pedda Kadubur,ANDHRA PRADESH,0.0
Yemmiganur,ANDHRA PRADESH,0.0
Nandavaram,ANDHRA PRADESH,0.0
C.Belagal,ANDHRA PRADESH,0.0
Gudur,ANDHRA PRADESH,0.0
Kallur,ANDHRA PRADESH,0.0
Kurnool,ANDHRA PRADESH,0.0
Nandikotkur,ANDHRA PRADESH,0.0
Pagidyala,ANDHRA PRADESH,0.0
Jupadu Bungalow,ANDHRA PRADESH,0.0
Kothapalle,ANDHRA PRADESH,0.0
Srisailam,ANDHRA PRADESH,0.0
Atmakur,ANDHRA PRADESH,0.0
Pamulapadu,ANDHRA PRADESH,0.0
Midthur,ANDHRA PRADESH,0.0
Orvakal,ANDHRA PRADESH,0.0
Kodumur,ANDHRA PRADESH,0.0
Gonegandla,ANDHRA PRADESH,0.0
Adoni,ANDHRA PRADESH,0.0
Holagunda,ANDHRA PRADESH,0.0
Halaharvi,ANDHRA PRADESH,6.2971
Alur,ANDHRA PRADESH,0.0
Aspari,ANDHRA PRADESH,0.0
Devanakonda,ANDHRA PRADESH,0.0
Krishnagiri,ANDHRA PRADESH,0.0
Veldurthi,ANDHRA PRADESH,0.0
Bethamcherla,ANDHRA PRADESH,0.0
Panyam,ANDHRA PRADESH,0.0
Gadivemula,ANDHRA PRADESH,0.0
Velgode,ANDHRA PRADESH,0.0
Bandi Atmakur,ANDHRA PRADESH,0.0
Nandyal,ANDHRA PRADESH,0.0
Mahanandi,ANDHRA PRADESH,0.0
Sirvel,ANDHRA PRADESH,0.0
Gospadu,ANDHRA PRADESH,0.0
Banaganapalle,ANDHRA PRADESH,0.0
Dhone,ANDHRA PRADESH,0.0
Pattikonda,ANDHRA PRADESH,0.0
Chippagiri,ANDHRA PRADESH,0.0
Maddikera (East),ANDHRA PRADESH,0.0
Tuggali,ANDHRA PRADESH,0.0
Peapally,ANDHRA PRADESH,0.0
Owk,ANDHRA PRADESH,0.0
Koilkuntla,ANDHRA PRADESH,0.0
Rudravaram,ANDHRA PRADESH,0.0
Allagadda,ANDHRA PRADESH,0.0
Dornipadu,ANDHRA PRADESH,0.0
Sanjamala,ANDHRA PRADESH,0.0
Kolimigundla,ANDHRA PRADESH,0.0
Uyyalawada,ANDHRA PRADESH,0.0
Chagalamarri,ANDHRA PRADESH,0.0
D.Hirehal,ANDHRA PRADESH,46.3514
Rayadurg,ANDHRA PRADESH,86.1992
Kanekal,ANDHRA PRADESH,118.8817
Bommanahal,ANDHRA PRADESH,54.8015
